product_type,product_name,product_desc,product_price,product_brand,product_model,product_screen,product_screenres,product_cpu,product_graphicscard,product_graphicsmemory,product_memory,product_storage,product_dimensions,product_weight
Laptops QWERTY,"Dell Latitude 3580","Met de Dell Latitude 3580 is jouw werk thuis of op kantoor altijd goed beveiligd. Door de vingerafdrukscanner en de TPM chip kan namelijk niemand bij jouw bestanden. Je schakelt snel tussen je e-mail, presentatie en jaarverslagen dankzij het 8 GB RAM geheugen. Met Windows 10 Pro maak je op afstand verbinding met andere computers. Overal waar jij internet hebt, ga je aan de slag met jouw beveiligde documenten. Reizen met een extra oplader is verleden tijd, want de batterij van deze laptop gaat tot 13,5 uur mee. De laptop weegt minder dan 2 kilo, waardoor je hem gemakkelijk in je tas meeneemt naar kantoor.","899,-","Dell","CD8W7","15,6 inch","1366 x 768 pixels","Intel 7200U","Intel HD Graphics 620","None","8 GB","256","37,9 cm x 25,5 cm x 2,33 cm","1,95 kg"
Laptops QWERTY,"HP Spectre 13-af000nd","De HP Spectre 13-af000nd is een 13,3 inch laptop met touchscreen die geschikt is voor multitasken en fotobewerking. Blader door jouw creaties door simpelweg over het touchscreen te swipen. Deze HP heeft een scherm met dunne bezels, waardoor het formaat van deze laptop kleiner is dan andere laptops met dezelfde schermgrootte. Hierdoor neem je deze laptop overal eenvoudig mee naartoe. Met de infrarood camera log je in op Windows door middel van gezichtsherkenning en hoef je geen wachtwoord in te typen. de stevige behuizing van metaal en koolstofvezel kan deze Spectre tegen een stootje. Deze laptop met een 256 GB PCIe SSD schijf start je sneller op dan laptops met een 'normale' SSD, waardoor je altijd snel aan de slag gaat.","1.399,-","HP","2PF90EA#ABH","13,3 inch","1920 x 1080 pixels","Intel Core i5 8250U","Intel UHD Graphics 620","None","8 GB","256 GB SSD","30,82 cm x 22,42 cm x 1,04 cm","1,11 kg"
Laptops QWERTY,"Asus ROG Strix GL503VD-FY208T","Met de Asus Gaming ROG Strix GL503VD-FY208T speel je games als Overwatch en For Honor op hoge instellingen. Daar is de NVIDIA GeForce GTX 1050 videokaart krachtig genoeg voor. Je games en programma's laden in enkele seconden via de 256 GB SSD. Game omgevingen zie je tot in de kleinste details op het Full HD scherm. En iedereen kijkt mee vanuit alle kijkhouden op het IPS paneel. Wil je je skills delen met anderen? Maak dan je eigen compilatievideo en deel deze op YouTube of Twitch met al je volgers. De juiste toetsencombinaties tijdens het gamen vind je altijd op het verlichte RGB toetsenbord, die je toetsen in alle kleuren van de regenboog doet oplichten.","1.399,-","Asus","90NB0GQ2-M03160","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","4000 MB","16 GB","256 GB SSD + 1TB HDD","38,4 cm x 26,2 cm x 2,3 cm","2,3 kg"
Laptops QWERTY,"HP Omen 15-ce060nd","De HP Omen 15-ce060nd is een gaming laptop waarmee je thuis, bij vrienden en op LAN parties nieuwe games speelt. Met de GTX 1050Ti videokaart aan boord speel je games als Quake Champions en Overwatch op hoge instellingen. De kleurrijke werelden komen goed in beeld dankzij de goede kleur weergave van het IPS paneel. Je games installeer je op de 128GB PCIe SSD, terwijl je andere programma's en bestanden op de 1 TB harde schijf bewaart. De PCIe SSD halveert de laadtijden van games, zodat je als eerste klaar staat in het volgende level. In het donker licht het luxe zwarte uiterlijk op in de bloed rode kleur van het rood verlichte toetsenbord.","1.399,-","HP","2PW52EA#ABH","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050Ti","4000 MB","16 GB","256 GB SSD + 1 TB HDD","38,85 cm x 27,55 cm x 2,48 cm","2,62 kg"
Laptops QWERTY,"MSI GL62VR 7REX-849NL","Speel je favoriete games en duik de wereld van virtual reality in met de MSI GL62VR 7REX-849NL. Dankzij de NVIDIA GeForce GTX 1060 videokaart is deze game laptop geschikt voor VR games en speel je de meeste nieuwe games op de hoogste instellingen. Speel je online tegen je vrienden? Dan heb je de dankzij Killer Gaming LAN geen last van lag tijdens je killstreaks. Het verlichte SteelSeries toetsenbord zorgt ervoor dat jij ook in het donker de juiste toetsencombinaties maakt. Begin direct aan een nieuw level, want de 256 GB NVMe SSD start je games in een paar seconden. Heb jij je games het liefst op dvd? Dan zit je met deze laptop goed, want hij heeft een ingebouwde dvd speler.","1.399,-","MSI","GL62VR 7REX-849NL","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1060","3000 MB","8 GB","256 GB SSD + 1 TB HDD","38,3 cm x 26 cm x 2,9 cm","2,2 kg"
Laptops QWERTY,"Apple MacBook 12'' (2017) MNYK2N/A Gold","Met zijn 920 gram is de 12 inch MacBook de lichtste laptop die Apple ooit heeft gemaakt. En zo'n vlieggewicht neem je natuurlijk makkelijk mee in de trein, naar je volgende les of die belangrijke vergadering. Zo maak je overal je dagelijkse rondje langs je favoriete websites en geniet je van de nieuwste series op het scherpe Retina beeldscherm. Even geen stopcontact in de buurt? Dat is niet meteen een ramp. Je surft tot 10 uur over het web op een volle accu.","1.399,-","Apple","MNYK2N/A","12 inch","2304 x 1440 pixels","Intel Core m3 None","Intel HD Graphics 615","None","8 GB","256 GB SSD","28,05 cm x 19,65 cm x 1,31 cm","None"
Laptops QWERTY,"MSI GT75VR 7RF-041NL","De MSI GT75VR 7RF-041NL is een gaming laptop voor serieuze gamers en animators. De GTX 1080 videokaart zorgt voor ultra graphics en hoge framerates, zodat het 120Hz scherm de animaties zo vloeiend mogelijk toont. Ook in VR haal je het meeste uit je actieve VR bril, want je draait de VR games op hoge instellingen. Daarnaast bieden de i7-7820HK processor en 32 GB aan RAM de rekenkracht die nodig is om ook zelf animaties te creëren in programma's als Maya of 3Ds Max. Je games en grafische software bewaar je op de 512 Gb PCIe SSD om zo snelle laadtijden te garanderen. Zijn je grafische projecten eenmaal af, dan bewaar je ze op de 1TB harde schijf.","3.499,-","MSI","GT75VR 7RF-041NL","17,3 inch","1920 x 1080 pixels","Intel Core i7 7820HK","NVIDIA GeForce GTX 1080","8000 MB","32 GB","512 GB SSD + 1 TB HDD","42,8 cm x 31,4 cm x 5,8 cm","4,56 kg"
Laptops QWERTY,"Apple MacBook Pro 15'' Touch Bar (2017) 16/256 GB - 3,1Ghz Silver","De Apple MacBook Pro 15'' Touch Bar (2017) 16/256 GB - 3,1Ghz Silver beschikt over de Touch Bar. Dit is een touchscreen boven het toetsenbord dat interactieve toetsen en functies laat zien en zich aanpast aan je programma's. Ben je aan het tekstverwerken, dan verschijnen er woordsuggesties en opties om de tekst op te maken. Bewerk je foto's, dan zie je op de Touch Bar filteropties of een kleurenpallet. Hierdoor houd je meer ruimte over om op het 15,4 inch Retina scherm in hoge resolutie aan je foto's en video's te knutselen in. De Touch Bar beschikt ook Touch ID, waarmee je met je vingerafdruk inlogt en betalingen goedkeurt. Randapparatuur sluit je aan op 1 van de 4 usb c aansluitingen, die geschikt zijn om data over te zetten én je MacBook op te laden.","2.799,-","Apple","Z0UD","15,4 inch","2880 x 1800 pixels","Intel Core i7 7920HQ","AMD Radeon Pro 555","2000 MB","16 GB","256 GB SSD","34,93 cm x 24,07 cm x 1,55 cm","1,83 kg"
Laptops QWERTY,"HP ProBook 470 G5 2RR88EA","De HP ProBook 470 G5 2RR73EA is een vervanger van jouw desktop waarmee je foto's mee bewerkt en datasets mee analyseert. Dankzij de 256 GB PCIe schijf laden jouw bestanden en programma's veel sneller dan laptops met een 'normale' SSD. Ook start jouw HP laptop in ongeveer 15 seconden op. Op het 17,3 inch scherm open je meerdere vensters naast elkaar en ben je niet steeds van tussen programma's aan het wisselen. Heb je op kantoor geen wifi? Deze HP ProBook heeft een ethernet aansluiting, zodat jij gewoon gebruik maakt van een bedrade verbinding. Dankzij het stevige aluminium chassis kan deze laptop tegen een stootje,  terwijl het morsbestendige toetsenbord ervoor zorgt dat die omgestoten kop koffie geen ramp is.","1.349,-","HP","2RR88EA#ABH","17,3 inch","1920 x 1080 pixels","Intel Core i7 8550U","NVIDIA GeForce 930MX","2000 MB","8 GB","256 GB SSD","41,38 cm x 27,6 cm x 2,25 cm","2,5 kg"
Laptops QWERTY,"Asus ROG Strix GL702VI-GC059T","Met de Asus ROG Strix GL702VI-GC059T is een gaming laptop met een NVIDIA GeForce GTX 1080 videokaart, die ervoor zorgt dat je de zwaarste games op ultra instellingen speelt. Deze 17,3 inch desktopvervanger maakt gebruik van de G-Sync technologie, waardoor de videokaart goed samenwerkt met het beeldscherm. Zo speel je shooters voortaan zonder tearing en stuttering en ben jij de ultieme eindbaas. Daarnaast beschik je over de grafische kracht om virtual reality games te spelen, dus sluit je VR bril aan en waan je in andere werelden. Dankzij de NVMe SSD, die nog sneller is dan een 'normale' SSD, start jij de zwaarste games in een paar seconden op. Het RGB verlichte toetsenbord zorgt ervoor dat jij ook in het donker de juiste toetsencombinaties maakt om je tegenstanders te verslaan.","2.699,-","Asus","90NB0G91-M00890","17,3 inch","1080 x 1920 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1080","8000 MB","16 GB","256 GB SSD + 1 TB HDD","41,5 cm x 28 cm x 3,7 cm","3,41 kg"
Laptops QWERTY,"HP Omen 15-ce032nd","De HP Omen 15-ce000nd is een gaming laptop waarmee je thuis, bij vrienden en op LAN parties nieuwe games speelt. Met de GTX 1050 videokaart aan boord speel je games als Quake Champions en Overwatch op hoge instellingen. De kleurrijke werelden komen goed in beeld dankzij de goede kleur weergave van het IPS paneel. Je games installeer je op de 256 GB PCIe SSD, terwijl je andere programma's en bestanden op de 1 TB harde schijf bewaart. De PCIe SSD halveert de laadtijden van games, zodat je als eerste klaar staat in het volgende level. In het donker licht het luxe zwarte uiterlijk op in de bloed rode kleur van het rood verlichte toetsenbord.","1.299,-","HP","1VQ28EA#ABH","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","16 GB","256 GB SSD + 1 TB HDD","38,85 cm x 27,55 cm x 2,48 cm","2,62 kg"
Laptops QWERTY,"Acer Predator Helios 300 G3-572-71SP","De Acer Predator Helios 300 G3-572-71SP is een gaming laptop waarop je de meeste zware games op hoge instellingen speelt dankzij de NVIDIA GeForce GTX 1050Ti videokaart. De ingebouwde Dual AeroBlade 3D ventilatie houdt de gameplay mooi en cool, terwijl PredatorSense software GPU overclocking en systeembesturing makkelijk maakt. Door het LED backlight onder de toetsen speel je tot in de vroege uurtjes door. De 256 GB PCIe SSD start je games nog sneller op dan met een normale SSD. Door het formaat van 15,6 inch neem je de laptop gemakkelijk mee in je rugtas om hem te gebruiken op een LAN party.","1.299,-","Acer","NH.Q2CEH.001","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050Ti","4000 MB","16 GB","256 GB SSD + 1 TB HDD","39 cm x 26,6 cm x 2,6 cm","2,7 kg"
Laptops QWERTY,"Asus ZenBook UX331UN-EG070T","Als je video's gaat bewerken wil je een laptop hebben met minimaal een i7 processor, maar het oog wil natuurlijk ook wat.  De Asus ZenBook UX331UN-EG070T voldoet aan al deze eisen. Met zijn dikte van nog geen 1,5 centimeter en gewicht van iets meer dan een kilo past hij makkelijk in je tas. Met een achtste generatie Intel Core i7 processor werk je op de ZenBook met de zwaarste software en maak je eenvoudig een video. Grafische taken verlopen in vloeiende beelden dankzij de MX 150 videokaart, waarmee je op de laptop ook een eenvoudig spelletje speelt ter ontspanning. Tijdens het gamen vind je altijd de juiste toetsencombinaties op het verlichte toetsenbord, zelfs bij weinig licht.","1.149,-","Asus","90NB0GY2-M01550","13,3 inch","1920 x 1080 pixels","Intel Core i7 8550U","NVIDIA GeForce MX150","2000 MB","8 GB","256 GB SSD","31 cm x 21,6 cm x 1,39 cm","1,12 kg"
Laptops QWERTY,"Asus ROG Strix GL503VD-FY127T","Met de Asus Gaming ROG Strix GL503VD-FY127T speel je games als Overwatch en For Honor op hoge instellingen. Daar is de NVIDIA GeForce GTX 1050 videokaart krachtig genoeg voor. Je games en programma's laden in enkele seconden via de 128 GB SSD. Game omgevingen zie je tot in de kleinste details op het Full HD scherm. En iedereen kijkt mee vanuit alle kijkhouden op het IPS paneel. Wil je je skills delen met anderen? Maak dan je eigen compilatievideo en deel deze op YouTube of Twitch met al je volgers. De juiste toetsencombinaties tijdens het gamen vind je altijd op het verlichte RGB toetsenbord, die je toetsen in alle kleuren van de regenboog doet oplichten.","1.199,-","Asus","90NB0GQ2-M03140","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","8 GB","128 GB SSD + 1TB HDD","38,4 cm x 26,2 cm x 2,3 cm","2,3 kg"
Laptops QWERTY,"MSI GS73VR 7RF-213NL Stealth Pro 4K","Met de MSI GS73VR 7RF-213NL Stealth Pro 4K game je op een 4K scherm, speel je VR games en speel je de nieuwste games op de hoogste instellingen. De NVIDIA GeForce GTX 1060 videokaart is VR ready en geschikt voor sommige 4K games op hoge instellingen. Bewaar al je favoriete titels en filmpjes van je killstreaks op de 2 TB harde schijf. Begin meteen aan een nieuw avontuur, want dankzij de 512 GB PCIe SSD schijf, die sneller is dan een gewone SSD, start je games binnen enkele seconden op. De Exclusive Cooler Boost 4 technologie houdt je laptop koel tijdens lange, intense gamesessies.","2.649,-","MSI","GS73VR 7RF-213NL","17,3 inch","3840 x 2160 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1060","6000 MB","16 GB","512 GB SSD + 2 TB HDD","41,18 cm x 28,49 cm x 1,96 cm","None"
Laptops QWERTY,"Asus VivoBook S14 S410UA-EB046T","De Asus VivoBook S14 S410UA-EB046T is een compacte 14 inch laptop die je gebruikt om thuis en onderweg foto's te bewerken. Met de 256 GB SSD schijf is jouw laptop in ongeveer 15 seconden opgestart, en laden programma's als Adobe Photoshop veel sneller dan bij een 'normale' harde schijf. Ook log jij sneller in op Windows en websites. Met Windows Hello log jij door middel van de vingerafdruksensor in zonder dat je een wachtwoord nodig hebt. Deze Asus VivoBook heeft een IPS scherm, waardoor je vanuit een brede kijkhoek jouw gemaakte ontwerpen goed blijft zien. Ook bij veel daglicht, want dankzij het anti-glare scherm zie jij de weerspiegeling van jouw gezicht niet terug in het matte scherm.","849,-","Asus","90NB0GF1-M01600","14 inch","1920 x 1080 pixels","Intel Core i5 8250U","Intel HD Graphics 620","None","8 GB","256 GB SSD","32,6 cm x 22,6 cm x 1,88 cm","1,43 kg"
Laptops QWERTY,"Asus Gaming ROG Strix GL753VD-GC150T","De Asus Gaming ROG Strix GL753VD-GC150T is een 17,3 inch laptop voor gamers die liever op een laptop spelen dan op een desktop. Speel games als Overwatch en For Honor op hoge instellingen. Daar is de NVIDIA GeForce GTX 1050 videokaart krachtig genoeg voor. Je games en programma's laden in enkele seconden vanaf de 128 GB SSD. Het IPS paneel toont ware kleuren van je favoriete Counter Strike maps. Wil je je skills delen met anderen? Maak dan je eigen compilatievideo en deel deze op YouTube of Twitch met al je volgers. De juiste toetsencombinaties vind je altijd op het verlichte RGB toetsenbord, die je toetsen in alle kleuren van de regenboog doet oplichten.","1.299,-","Asus","90NB0DM2-M05700","17,3 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","8 GB","128 GB SSD + 1 TB HDD","41,5 cm x 27,3 cm x 3,2 cm","3 kg"
Laptops QWERTY,"HP Chromebook 11-v001nd","De HP Chromebook 11-v001nd is een laptop die je gebruikt om mee te internetten of om teksten mee te bewerken. Door het 16 GB Flash geheugen ga je binnen 15 seconden aan de slag nadat je de laptop hebt aangezet. Je gebruikt op deze laptop niet Windows als besturingssysteem, maar Chrome OS. Log in via je Google account en bewerk teksten in Google Docs. Omdat je bestanden bewaart in de cloud, is een grote harde schijf overbodig. Bovendien heb je altijd toegang tot je bestanden als je bent ingelogd via Google. Je bestanden erbij pakken op school of tijdens een vergadering gaat dan ook gemakkelijk.","239,-","HP","X9W45EA","11,6 inch","1366 x 768 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","4 GB","16 GB Flash","28,6 cm x 20,5 cm x 1,84 cm","1,2 kg"
Laptops QWERTY,"Lenovo Yoga Book Pro YB1-X91F Zwart","","599,-","Lenovo","ZA150022NL","10,1 inch","1920 x 1200 pixels","Intel Atom Z8550","Intel HD Graphics","None","4 GB","64 GB Flash","25,66 cm x 17,08 cm x 0,96 cm","0,69 kg"
Laptops QWERTY,"MSI GT75VR 7RE-043NL","De MSI GT75VR 7RE-043NL Titan is een gaming laptop voor gamers die de nieuwste competitieve shooters spelen. De laptop is namelijk voorzien van een 120Hz paneel, waarop snel bewegende beelden en animaties vloeiend in beeld komen. In combinatie met de GTX 1070 videokaart betekent dit dat je de nieuwste games op ultra instellingen speelt en zonder haperingen opgaat in de wondere wereld van VR. Je installeert je games op de 256 GB PCIe SSD, zodat games, programma's en grote bestanden 2x sneller laden dan op een reguliere SSD. Last van lag heb je niet, want de Killer LAN en Killer AC modules werken samen om jouw verbinding stabiel te houden.","2.599,-","MSI","GT75VR 7RE-043NL","17,3 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1070","8000 MB","16 GB","256 GB SSD + 1 TB HDD","42,8 cm x 31,4 cm x 5,8 cm","4,56 kg"
Laptops QWERTY,"Medion Akoya S6219W White 128","De Medion Akoya S6219W White 128 gebruik je thuis en op het werk om de boekhouding te doen en te werken in Office. Met een gewicht van 1,65 kg is deze laptop lichter dan vergelijkbare laptops, waardoor je hem gemakkelijk meeneemt in je tas. Op het 15,6 inch beeldscherm heb je veel werkruimte hebt en kijk je comfortabel een film in Full HD. De 128 GB SSD laadt je bestanden binnen enkele seconden. Zo hoef je niet meer lang te wachten tot je het foto album van je laatste vakantie aan je familie of collega's laat zien. Op het numerieke toetsenbord voer je snel en makkelijk veel data in. Handig als je bijvoorbeeld veel administratieve taken uitvoert.","349,-","Medion","30022668","15,6 inch","1920 x 1080 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","4 GB","128 GB SSD","38 cm x 25,3 cm x 2,1 cm","1,65 kg"
Laptops QWERTY,"Asus VivoBook Pro N580VD-E4380R","","1.249,-","Asus","90NB0FL1-M05750","15,6 inch","1920 x 1080 pixels","Intel Core i5 7300HQ","NVIDIA GeForce GTX 1050","2000 MB","8 GB","256 GB SSD","38 cm x 25,6 cm x 1,92 cm","1,99 kg"
Laptops QWERTY,"Asus ZenBook Flip UX461UA-E1034T","De Asus ZenBook Flip UX461UA-E1034T is een compacte maar 2-in-1 laptop die je ook als tablet gebruikt om je vakantiefoto's te bewerken. Dankzij de Intel Core i5 processor bewerk jij foto's in grafische programma's. Ben jij beter met jouw handen dan met een muis en toetsenbord? Draai het scherm 360 graden en gebruik het touchscreen om jouw werk aan te passen. Ben je klaar, bekijk dan je gemaakte werk terug door deze ZenBook Flip in de tentstand te zetten, waardoor de laptop rechtop blijft staan. Op het IPS scherm zit jij dankzij de brede kijkhoek niet per se recht voor het scherm om alle details van jouw werk te zien. Dankzij de 256 GB SSD schijf start je deze laptop in ongeveer 15 seconden op en ga je altijd snel weer aan het werk.","1.099,-","Asus","90NB0GG1-M01480","14 inch","1920 x 1080 pixels","Intel Core i5 8250U","Intel UHD Graphics 620","None","8 GB","256 GB SSD","32,7 cm x 22,6 cm x 1,39 cm","1,4 kg"
Laptops QWERTY,"Acer Predator G9-593-7757","Met de Acer Predator G9-593-7757 ben je klaar voor de wereld van VR. De krachtige NVIDIA GeForce GTX 1070 videokaart laat je namelijk kennis met virtuele werelden als je een VR bril zoals de Oculus Rift op de laptop aansluit. Of je speelt games als Watch Dogs 2 op ultra instellingen. Tijdens het gamen heb je geen last meer van haperende beelden, want de laptop is uitgerust met G-Sync. Je games laden tot wel 2 keer zo snel door de 512 GB SSD. Alle gameplay video's waarin je online domineert, bewaar je op de 1 TB harde schijf om ze daarna te delen op YouTube. Door zijn 15,6 inch formaat neem je hem makkelijk mee naar een LAN-party.","2.499,-","Acer","NH.Q1ZEH.004","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1070","8000 MB","32 GB","512 GB SSD + 1 TB HDD","42,3 cm x 32,15 cm x 3,97 cm","4,8 kg"
Laptops QWERTY,"HP 14 Thinbook 14-bp005nd","Neem de HP 14 Thinbook 14-bp005nd mee naar werk of college om aantekeningen te maken, je sheets bij te werken of te internetten. Met een formaat van 14 inch en een dikte van 1,99 cm neem je deze laptop gemakkelijk mee in je tas. Klap de laptop open en ga meteen verder met je laatste project. Dankzij het 64 GB Flash geheugen start je de Thinbook namelijk in ongeveer 15 seconden op. Thuis op de bank kijk je nog even een nieuwe aflevering van je favoriete serie op het anti reflecterende beeldscherm, waarop je geen last hebt van weerspiegelend licht.","349,-","HP","2LC98EA#ABH","14 inch","1366 x 768 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","4 GB","64 GB Flash","33,6 cm x 23,9 cm x 1,99 cm","1,55 kg"
Laptops QWERTY,"Medion Erazer X6603-i7-1128","Op de Medion Erazer X6603-i7-1128 speel jij de meeste games op hoge instellingen. De NVIDIA GeForce GTX 1050Ti videokaart zorgt namelijk voor vloeiende bewegende beelden. Dankzij de Core i7 processor lopen je games soepel en werk je met zware programma's om video's van je killstreaks in elkaar te knutselen. Start je meest gebruikte games in een paar seconden vanaf de 128 GB SSD en bewaar al je bestanden op de 1 TB harde schijf. Neem  de Erazer X6603 mee naar een LAN party, want door het formaat van 15,6 inch neem je hem makkelijk mee in een rugtas. Tijdens het domineren van je tegenstanders heb je dankzij het anti reflecterende scherm geen last van weerkaatsend licht en vingerafdrukken.","1.249,-","Medion","30022682","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050Ti","4000 MB","16 GB","128 GB SSD + 1 TB HDD","38 cm x 27 cm x 2,7 cm","2,6 kg"
Laptops QWERTY,"Microsoft Surface Laptop - i7 - 16 GB - 512 GB","De Microsoft Surface Laptop is een 13,5 inch laptop met touchscreen en is speciaal ontworpen voor scholieren en studenten. Gebruik hem tijdens college om door documenten of pagina's te swipen en deel relevante informatie met medestudenten via Microsoft Groups. Het scherm heeft 3,4 miljoen pixels en een 2256 x 1504 pixels resolutie, waardoor alles op je scherm er haarscherp uitziet. Met een dikte van 14,5 millimeter en een gewicht van slechts 1,25 kilogram neem je de Surface Laptop mee in je rugzak van de ene les naar de ander. Door de lange batterijduur tot 14,5 uur gebruik je de Surface Laptop de hele dag zonder problemen. De Surface Laptop werkt met Windows 10 S, het nieuwe lichte besturingssysteem van Microsoft.","2.499,-","Microsoft","DAL-00008","13,5 inch","2256 x 1504 pixels","Intel Core i7 7660U","Intel Iris Plus Graphics 640","None","16 GB","512 GB SSD","30,802 cm x 22,32 cm x 1,447 cm","1,25 kg"
Laptops QWERTY,"MSI GS63VR 7RG-043NL","Op de 15 inch MSI GS63VR 7RG-043NL Stealth Pro gaming laptop speel je de nieuwste games in 4K. De GTX 1070 videokaart levert de grafische spierballen om de games in UHD op het beeld te toveren en VR games met een actieve VR bril op hoge instellingen te spelen. Dankzij de 512 GB PCIe SSD start de laptop in ongeveer 15 seconden op en starten en laden games aanzienlijk sneller dan met een reguliere HDD. Al je YouTube waardige momenten bewaar je voor montage op de 2 TB HDD. Tijdens nachtelijke LAN parties val je op dankzij het RGB verlichte SteelSeries toetsenbord. De Cooler Booster technologie houdt de laptop koel terwijl jij in 4K gamet of AutoCAD ontwerpen bouwt.","2.549,-","MSI","GS63VR 7RG-043NL","15,6 inch","3840 x 2160 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1070 Max-Q","8000 MB","16 GB","512 GB SSD + 2 TB HDD","38 cm x 24,9 cm x 1,77 cm","1,8 kg"
Laptops QWERTY,"MSI GT73EVR 7RE-819NL Titan","Met de MSI GT73EVR 7RE-819NL Titan vervang jij je desktop en ga je voor een vloeiende game ervaring op ultra instellingen in de nieuwste games. Daar zorgt de NVIDIA GeForce GTX 1070 videokaart voor, waarmee je ook virtual reality games speelt. Het beeldscherm met 120 Hz verversingssnelheid zorgt voor vloeiende en natuurlijke bewegende beelden. Handig is als je shooters met snelle actie speelt, zoals Battlefield of Overwatch. Wil jij zelf toetsencombinaties instellingen om je tegenstanders te snel af te zijn? Dat is geen probleem met het RGB verlichte SteelSeries toetsenbord. Lang wachten op het laden van levels is verleden tijd, want de 2 NVMe SSD schijven van 256 GB zorgt ervoor dat je in een paar seconden aan een nieuwe killstreak begint.","2.499,-","MSI","GT73EVR 7RE-819NL","17,3 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1070","8000 MB","16 GB","2x 256 GB SSD + 1 TB HDD","42,8 cm x 28,7 cm x 4,9 cm","4,14 kg"
Laptops QWERTY,"Apple MacBook Air 13,3'' (2017) 8/128 GB - 2,2GHz","De Apple MacBook Air neem je overal mee naartoe om je mail te checken, foto's te bewerken en films te kijken. Dankzij de lange batterijduur van ongeveer 12 uur ga je een dag op pad met je MacBook Air zonder hem te hoeven opladen. Met zijn compacte formaat van 13,3 inch past hij makkelijk in je tas. De Intel Core i7 processor is geschikt om soepel met meerdere programma's tegelijkertijd te werken. Klap je laptop open en ga meteen aan de slag, want de SSD schijf start je MacBook namelijk in 15 seconden op en opent je apps in een paar seconden.","1.199,-","Apple","Z0UU","13,3 inch","1440 x 900 pixels","Intel Core i7 5650U","Intel HD Graphics 6000","None","8 GB","128 GB SSD","32,5 cm x 22,7 cm x 1,7 cm","1,35 kg"
Laptops QWERTY,"HP 15-bs020nd","De HP 15-bs020nd gebruik je thuis, op je werk en op school om presentaties te maken, je Excel sheets bij te werken en te internetten. Klap deze 15,6 inch laptop open en ga direct aan de slag, want de 128 GB SSD schijf start je laptop binnen 15 seconden op. Tijdens college maak je aantekeningen en thuis aan de keukentafel bezoek je jouw favoriete websites. Cijfers invoeren in een sheet? Dat doe je makkelijk en snel met het numerieke toetsenbord. Dankzij het anti reflecterende beeldscherm kijk je in alle rust een film of serie, want je hebt geen last van weerspiegelingen en vingerafdrukken op het scherm.","549,-","HP","1UZ61EA#ABH","15,6 inch","1920 x 1080 pixels","Intel Core i3 6006U","Intel HD Graphics 520","None","4 GB","128 GB SSD","38 cm x 25,38 cm x 2,38 cm","1,91 kg"
Laptops QWERTY,"MSI GS73VR 7RG-039NL","Met de 17,3 inch GS73VR 7RG-039NL Stealth Pro gaming laptop speel je op LAN parties en bij vrienden op de hoogste instellingen. Daarnaast duik je dankzij de GTX 1070 videokaart in de wereld van VR games, die je dan nog eens op hoge instellingen speelt. Het 120Hz paneel zorgt ervoor dat animaties er vloeiend en natuurlijk uitzien, handig bij de snel bewegende beelden van shooters als Quake en Overwatch. Dankzij de 256 GB PCIe SSD start de laptop in ongeveer 15 seconden op en sta je na een aantal seconden al weer klaar in het volgende level. Al je YouTube waardige momenten bewaar je voor montage op de 2 TB HDD. Tijdens nachtelijke LAN parties val je op dankzij het RGB verlichte SteelSeries toetsenbord.","2.429,-","MSI","GS73VR 7RG-039NL","17,3 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1070 Max-Q","8000 MB","16 GB","256 GB SSD + 2 TB HDD","41,18 cm x 28,49 cm x 1,96 cm","2,43 kg"
